time,hand,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,trigger_pressed,grip_pressed,primary_button_pressed,joystick_x,joystick_y,thumb,index,middle,ring,pinky
0.0000,Left,-0.3733,0.7107,0.6148,0.1320,0.6554,-0.3373,0.6628,0.0239,0.0054,-0.0069,0.0575,0.1055,0.0523,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.0000,Right,-0.1686,0.7136,0.3866,0.3018,0.1039,0.1501,0.9357,0.0010,-0.0012,-0.0198,0.0055,0.1179,-0.0199,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.0200,Left,-0.3667,0.7102,0.6152,0.1391,0.6599,-0.3304,0.6603,-0.0007,0.0013,-0.0003,-0.0144,0.0328,0.0204,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.0200,Right,-0.1648,0.7111,0.3900,0.3015,0.1059,0.1463,0.9362,-0.0038,0.0015,0.0026,-0.0057,-0.0128,-0.0115,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.1278,Left,-0.3670,0.7109,0.6151,0.1359,0.6605,-0.3299,0.6607,-0.0058,0.0019,-0.0012,0.0007,-0.0070,0.0029,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.1278,Right,-0.1659,0.7113,0.3907,0.3005,0.1038,0.1468,0.9367,-0.0017,0.0018,0.0001,-0.0128,0.0126,0.0029,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.1555,Left,-0.3674,0.7109,0.6151,0.1362,0.6601,-0.3296,0.6611,-0.0088,0.0002,0.0011,0.0078,-0.0335,0.0006,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.1555,Right,-0.1660,0.7114,0.3907,0.3004,0.1042,0.1465,0.9367,-0.0015,0.0016,-0.0010,-0.0043,0.0153,-0.0065,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.1891,Left,-0.3678,0.7109,0.6152,0.1365,0.6598,-0.3296,0.6614,-0.0106,-0.0003,0.0022,0.0067,-0.0251,-0.0104,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
0.1891,Right,-0.1662,0.7113,0.3906,0.3004,0.1043,0.1464,0.9367,-0.0033,0.0000,-0.0018,-0.0007,0.0061,0.0045,False,True,False,0.0000,0.0000,-1.0000,-1.0000,-1.0000,-1.0000,-1.0000
